,Symbol,Name,Price,1h Δ,24h Δ,24h vol,Market cap (USD),Supply,Updated
32,<a href=https://cryptocompare.com/coins/atom/overview>ATOM</a>,<a href=https://cryptocompare.com/coins/atom/overview>Cosmos</a>,29.28,<p class=red>-0.14</p>,<p class=green>+1.31</p>,"405,203,740.0","8,542,338,664.0","291,746,539.0",2022-04-01 23:08:49
33,<a href=https://cryptocompare.com/coins/trx/overview>TRX</a>,<a href=https://cryptocompare.com/coins/trx/overview>TRON</a>,0.07,<p class=green>+0.13</p>,<p class=green>+1.19</p>,"414,659,707.0","7,421,312,805.0","99,241,947,122.0",2022-04-01 23:08:48
34,<a href=https://cryptocompare.com/coins/bch/overview>BCH</a>,<a href=https://cryptocompare.com/coins/bch/overview>Bitcoin Cash</a>,377.69,<p class=red>-0.37</p>,<p class=red>-1.72</p>,"192,103,419.0","7,185,516,802.0","19,024,906.0",2022-04-01 23:08:45
35,<a href=https://cryptocompare.com/coins/vet/overview>VET</a>,<a href=https://cryptocompare.com/coins/vet/overview>VeChain</a>,0.08,<p class=red>-0.49</p>,<p class=green>+3.46</p>,"289,359,261.0","6,947,591,327.0","85,985,041,177.0",2022-04-01 23:08:43
36,<a href=https://cryptocompare.com/coins/algo/overview>ALGO</a>,<a href=https://cryptocompare.com/coins/algo/overview>Algorand</a>,0.94,<p class=red>-0.6</p>,<p class=green>+0.7</p>,"155,887,235.0","6,615,999,969.0","7,069,131,284.0",2022-04-01 23:08:40
37,<a href=https://cryptocompare.com/coins/dydx/overview>DYDX</a>,<a href=https://cryptocompare.com/coins/dydx/overview>dYdX</a>,6.38,<p class=red>-0.76</p>,<p class=green>+6.03</p>,"119,489,422.0","6,379,000,000.0","1,000,000,000.0",2022-04-01 23:08:46
38,<a href=https://cryptocompare.com/coins/rune/overview>RUNE</a>,<a href=https://cryptocompare.com/coins/rune/overview>Thorchain</a>,12.45,<p class=red>-0.32</p>,<p class=green>+8.64</p>,"262,725,977.0","6,225,000,000.0","500,000,000.0",2022-04-01 23:08:49
39,<a href=https://cryptocompare.com/coins/etc/overview>ETC</a>,<a href=https://cryptocompare.com/coins/etc/overview>Ethereum Classic</a>,47.15,<p class=red>-0.36</p>,<p class=red>-0.69</p>,"663,588,687.0","6,223,615,688.0","131,996,090.0",2022-04-01 23:08:38
40,<a href=https://cryptocompare.com/coins/mana/overview>MANA</a>,<a href=https://cryptocompare.com/coins/mana/overview>Decentraland</a>,2.65,<p class=red>-0.45</p>,<p class=green>+1.3</p>,"198,144,078.0","5,806,757,324.0","2,193,712,627.0",2022-04-01 23:08:46
41,<a href=https://cryptocompare.com/coins/waves/overview>WAVES</a>,<a href=https://cryptocompare.com/coins/waves/overview>Waves</a>,52.31,<p class=green>+0.02</p>,<p class=red>-3.9</p>,"856,819,184.0","5,643,843,911.0","107,892,256.0",2022-04-01 23:08:49
42,<a href=https://cryptocompare.com/coins/leo/overview>LEO</a>,<a href=https://cryptocompare.com/coins/leo/overview>LEO Token</a>,6.04,<p class=green>+0.09</p>,<p class=green>+4.69</p>,"360,147.0","5,658,640,442.0","936,614,828.0",2022-04-01 23:08:45
43,<a href=https://cryptocompare.com/coins/okb/overview>OKB</a>,<a href=https://cryptocompare.com/coins/okb/overview>OKX</a>,21.34,<p class=red>-0.34</p>,<p class=green>+1.89</p>,"43,908,305.0","5,606,357,679.0","262,680,011.0",2022-04-01 23:08:45
44,<a href=https://cryptocompare.com/coins/usdc/overview>USDC</a>,<a href=https://cryptocompare.com/coins/usdc/overview>USD Coin</a>,1.0,<p class=red>-0.01</p>,<p class=green>+0.0</p>,"253,845,479.0","5,064,128,106.0","5,064,634,570.0",2022-04-01 23:08:38
45,<a href=https://cryptocompare.com/coins/qnt/overview>QNT</a>,<a href=https://cryptocompare.com/coins/qnt/overview>Quant</a>,141.03,<p class=green>+0.33</p>,<p class=green>+2.48</p>,"27,752,630.0","5,065,971,637.0","35,921,234.0",2022-04-01 23:08:28
46,<a href=https://cryptocompare.com/coins/grt/overview>GRT</a>,<a href=https://cryptocompare.com/coins/grt/overview>The Graph</a>,0.48,<p class=red>-1.13</p>,<p class=green>+2.34</p>,"149,433,599.0","4,968,245,154.0","10,333,288,590.0",2022-04-01 23:08:43
47,<a href=https://cryptocompare.com/coins/imx/overview>IMX</a>,<a href=https://cryptocompare.com/coins/imx/overview>Immutable X</a>,2.46,<p class=red>-0.53</p>,<p class=green>+4.55</p>,"113,007,639.0","4,920,000,000.0","2,000,000,000.0",2022-04-01 23:08:43
48,<a href=https://cryptocompare.com/coins/hbar/overview>HBAR</a>,<a href=https://cryptocompare.com/coins/hbar/overview>Hedera Hashgraph</a>,0.24,<p class=green>+0.2</p>,<p class=green>+3.81</p>,"75,843,793.0","4,922,159,677.0","20,057,700,395.0",2022-04-01 23:07:26
49,<a href=https://cryptocompare.com/coins/crv/overview>CRV</a>,<a href=https://cryptocompare.com/coins/crv/overview>Curve DAO Token</a>,2.8,<p class=red>-0.46</p>,<p class=green>+6.29</p>,"100,374,677.0","4,818,692,660.0","1,719,119,750.0",2022-04-01 23:07:53
50,<a href=https://cryptocompare.com/coins/fil/overview>FIL</a>,<a href=https://cryptocompare.com/coins/fil/overview>FileCoin</a>,25.59,<p class=red>-0.47</p>,<p class=green>+4.66</p>,"399,822,742.0","4,748,637,932.0","185,566,156.0",2022-04-01 23:08:39
51,<a href=https://cryptocompare.com/coins/egld/overview>EGLD</a>,<a href=https://cryptocompare.com/coins/egld/overview>Elrond</a>,197.94,<p class=green>+0.38</p>,<p class=green>+5.77</p>,"155,134,234.0","4,640,949,339.0","23,446,243.0",2022-04-01 23:07:44
52,<a href=https://cryptocompare.com/coins/ilv/overview>ILV</a>,<a href=https://cryptocompare.com/coins/ilv/overview>Illuvium</a>,645.38,<p class=red>-0.04</p>,<p class=green>+4.77</p>,"5,481,531.0","4,517,661,260.0","7,000,000.0",2022-04-01 23:08:45
53,<a href=https://cryptocompare.com/coins/gno/overview>GNO</a>,<a href=https://cryptocompare.com/coins/gno/overview>Gnosis</a>,433.2,<p class=red>-0.26</p>,<p class=green>+2.31</p>,"139,843.0","4,332,010,290.0","10,000,000.0",2022-04-01 23:08:45
54,<a href=https://cryptocompare.com/coins/ftm/overview>FTM</a>,<a href=https://cryptocompare.com/coins/ftm/overview>Fantom</a>,1.57,<p class=red>-1.69</p>,<p class=green>+9.92</p>,"1,038,242,441.0","4,213,378,306.0","2,678,562,178.0",2022-04-01 23:08:38
55,<a href=https://cryptocompare.com/coins/ldo/overview>LDO</a>,<a href=https://cryptocompare.com/coins/ldo/overview>Lido DAO</a>,4.25,<p class=green>+0.32</p>,<p class=green>+14.02</p>,"7,649,958.0","4,228,933,549.0","996,308,500.0",2022-04-01 23:08:45
56,<a href=https://cryptocompare.com/coins/theta/overview>THETA</a>,<a href=https://cryptocompare.com/coins/theta/overview>Theta</a>,4.07,<p class=red>-0.58</p>,<p class=red>-3.06</p>,"376,993,465.0","4,072,747,090.0","1,000,000,000.0",2022-04-01 23:08:45
57,<a href=https://cryptocompare.com/coins/xmr/overview>XMR</a>,<a href=https://cryptocompare.com/coins/xmr/overview>Monero</a>,218.32,<p class=red>-0.07</p>,<p class=green>+2.63</p>,"113,814,548.0","3,951,893,392.0","18,101,380.0",2022-04-01 23:08:43
58,<a href=https://cryptocompare.com/coins/aave/overview>AAVE</a>,<a href=https://cryptocompare.com/coins/aave/overview>Aave</a>,245.97,<p class=red>-0.29</p>,<p class=green>+18.88</p>,"495,258,221.0","3,935,520,000.0","16,000,000.0",2022-04-01 23:08:35
59,<a href=https://cryptocompare.com/coins/xtz/overview>XTZ</a>,<a href=https://cryptocompare.com/coins/xtz/overview>Tezos</a>,3.91,<p class=red>-0.64</p>,<p class=green>+5.13</p>,"113,593,429.0","3,565,208,012.0","911,351,741.0",2022-04-01 23:08:47
60,<a href=https://cryptocompare.com/coins/kcs/overview>KCS</a>,<a href=https://cryptocompare.com/coins/kcs/overview>KuCoin Token</a>,20.88,<p class=red>-0.19</p>,<p class=green>+1.96</p>,"6,327,898.0","3,552,068,145.0","170,118,638.0",2022-04-01 23:08:45
61,<a href=https://cryptocompare.com/coins/dfi/overview>DFI</a>,<a href=https://cryptocompare.com/coins/dfi/overview>DeFiChain</a>,4.5,<p class=green>+0.16</p>,<p class=green>+3.86</p>,"2,155,402.0","3,539,749,144.0","786,841,817.0",2022-04-01 23:08:45
